Rk,Season,Tm,Lg,G,W,L,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFGM,OFGA,OFTM,OFTA,O3PM,O3PA,OppORB,OppDRB,OppAsst,OppSTL,OppBlk,OppTOV,OppPF
240,2005-06,DET,NBA,82,64,18,2983,6558,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,2915,6450,1235,1677,329,1012,951,2399,1541,481,285,1145,1726
123,2005-06,GSW,NBA,82,34,48,2939,6785,625,1832,1573,2190,980,2485,3465,1694,604,357,1156,1941,3047,6674,1624,2187,469,1335,985,2662,1828,576,409,1258,1919
56,2005-06,HOU,NBA,82,34,48,2708,6252,469,1414,1502,1980,849,2565,3414,1580,588,320,1193,1863,2708,6310,1560,2135,541,1465,874,2477,1647,582,373,1094,1716
61,2005-06,IND,NBA,82,41,41,2786,6274,536,1536,1591,2158,898,2559,3457,1631,598,409,1254,1821,2831,6504,1511,2060,371,1083,968,2416,1520,661,399,1112,1800
6,2005-06,LAC,NBA,82,47,35,2993,6443,290,843,1694,2142,828,2704,3532,1708,534,503,1185,1872,2887,6638,1593,2175,474,1367,858,2432,1765,570,355,1053,1777
121,2005-06,LAL,NBA,82,45,37,2992,6607,552,1583,1618,2172,970,2488,3458,1734,628,350,1143,1894,2945,6547,1585,2123,474,1342,893,2399,1730,536,354,1158,1925
214,2005-06,MEM,NBA,82,49,33,2746,6125,590,1578,1476,2077,834,2379,3213,1586,600,442,1134,1757,2691,6172,1465,1942,408,1223,927,2404,1605,597,456,1213,1867
13,2005-06,MIA,NBA,82,52,30,3039,6355,497,1441,1616,2310,858,2675,3533,1692,522,442,1186,1871,2871,6529,1642,2223,490,1359,826,2359,1596,560,298,1063,1937
156,2005-06,MIL,NBA,82,40,42,2976,6566,507,1335,1561,2115,929,2448,3377,1769,597,270,1197,1902,2972,6383,1671,2237,490,1385,832,2475,1847,606,414,1182,1937
178,2005-06,MIN,NBA,82,33,49,2888,6340,310,942,1436,1895,811,2422,3233,1716,559,471,1189,1889,2852,6474,1525,2072,447,1229,974,2411,1554,539,374,1139,1736
78,2005-06,NJN,NBA,82,49,33,2778,6317,477,1447,1658,2187,822,2539,3361,1884,558,278,1119,1903,2730,6222,1654,2232,465,1336,787,2599,1641,589,329,1177,1889
215,2005-06,NOH,NBA,82,38,44,2831,6428,300,885,1649,2176,918,2379,3297,1519,611,311,1095,1786,2883,6286,1530,2014,546,1486,860,2498,1584,527,432,1197,1910
231,2005-06,NYK,NBA,82,23,59,2822,6206,320,884,1878,2587,1034,2360,3394,1468,555,271,1449,2157,2967,6359,1868,2480,565,1495,883,2280,1744,674,437,1154,2079
197,2005-06,ORL,NBA,82,36,46,2911,6167,299,796,1663,2277,892,2402,3294,1495,532,362,1240,1908,2870,6327,1672,2285,460,1287,911,2239,1644,615,386,1099,1899
175,2005-06,PHI,NBA,82,38,44,3001,6546,375,1031,1770,2330,873,2425,3298,1653,651,404,1159,1712,3100,6699,1609,2111,498,1420,974,2533,1882,630,386,1269,1898
21,2005-06,PHO,NBA,82,54,28,3430,7167,837,2097,1189,1475,778,2650,3428,2179,549,412,1088,1683,3243,7141,1429,1956,516,1423,1028,2735,1546,591,282,1218,1623
267,2005-06,POR,NBA,82,21,61,2791,6267,364,1042,1339,1944,886,2203,3089,1490,529,435,1205,1828,3032,6472,1498,1971,498,1306,1029,2445,1737,592,403,1060,1704
